x_mm,y_mm,z_mm,s_norm,dist_nearest_end,radial_norm,local_radius_over_length,local_radius_over_median,local_radius_over_large_end,local_radius_gradient,curvature_1_per_mm,curvature_radius,curvature_side,tangent_alignment_main_axis,centerline_length_mm,mean_radius_over_length,max_radius_over_length,global_expansion_ratio,end_radius_ratio,tortuosity,mean_curvature_times_length,max_curvature_times_length,bbox_ratio_2_1,bbox_ratio_3_1,patient,TAWSS_vector_Pa,OSI,RRT_1_per_Pa,peak_WSS_magnitude_Pa,VM_cycle_max_Pa,VM_stress_amplitude_Pa,VM_temporal_mean_Pa
5.4094228934778,-189.1797907224235,-305.1782942775476,0.09962980890269722,0.09962980890269722,0.7060718881647776,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.8517517008865007,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4345982570025549,0.1382106602420099,3.179993688693557,2.1459285337617184,2160.911708787143,1080.4558543324558,404.2740071469398
5.480602880201,-188.925146706288,-306.3428233770667,0.09962980890269722,0.09962980890269722,0.6807813209371466,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.875108854417812,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4552678073146026,0.1377293132182658,3.0315858279234678,2.316604352047041,2321.2980292813827,1160.6490145787463,403.06267799353407
5.093975580264,-188.00697566952982,-305.60836836638526,0.09962980890269722,0.09962980890269722,0.7178883806345298,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.8955178338483981,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4259915923605404,0.1495848990932546,3.349547671353481,2.1055898318326736,2910.5150808075327,1455.2575403365463,525.23298062188
5.2907839520309,-187.9944625373979,-306.880346411966,0.09962980890269722,0.09962980890269722,0.6868320880155029,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.9083480219939087,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.445443293060267,0.1454192065989923,3.1656461793609054,2.2832165174411547,2983.9147439731064,1491.9573719223854,511.3131581599813
5.5521158660348995,-188.70239642967502,-307.36037360967885,0.09962980890269722,0.09962980890269722,0.6602521213876972,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.8940089600593463,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4663870065518276,0.1419947484342294,2.9945678968205063,2.4102453224576785,2522.1841408389832,1261.09207036212,398.7327980461373
5.4267075968327,-188.0720675495996,-307.630294751697,0.09962980890269722,0.09962980890269722,0.6673491868723809,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.913575674620355,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4586021366415084,0.1471861450186262,3.090212173415528,2.390258825036095,2796.49279342701,1398.2463966552425,462.8636143911582
5.62594791996,-188.50253507600002,-308.269503608,0.09962980890269722,0.09962980890269722,0.6431422011324079,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.9092645796557101,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4861513503385302,0.1406185565491003,2.861823590062253,2.6100896285594724,2579.0354196733647,1289.517709783766,392.1164246166471
5.3116546744113995,-187.487418961009,-307.5287353895646,0.09962980890269722,0.09962980890269722,0.6808404020720362,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.9247857346926531,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4397557075572938,0.1544214518123343,3.290120041823594,2.245855858447261,2991.0161802558778,1495.5080900669725,514.4285741696251
5.482332040193301,-187.70993543836508,-308.3492813303796,0.09962980890269722,0.09962980890269722,0.657778767027483,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.9271143138218586,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.4645636306161381,0.1541608439822778,3.112079154448196,2.413876271424523,2732.9404022822887,1366.4702010853064,459.489755690003
4.8201328028706,-186.0312987910001,-305.1224612953043,0.09962980890269722,0.09962980890269722,0.7560763338510299,0.1147763913658712,1.1132436930204035,1.0440914566310686,0.3793263945946642,0.09696154263348382,1.4255301523269588,-0.9313860808895411,0.9743679222334023,128.09268384245757,0.10904074679956756,0.16953758728846213,1.5422400404754506,0.8001570568768019,1.2256684856250093,21.347155711421177,170.204315538601,0.6156182818758505,0.3930437124325632,1,0.390198313431536,0.165846242665596,3.8347606972355255,1.8498240846285383,3329.317421007096,1664.6587104373166,615.5700523425603
